,MVT_GT_Raleigh-Durham (Fayetteville) NC
2015-02-01 00:00:00,38
2015-03-01 00:00:00,46
2015-04-01 00:00:00,38
2015-05-01 00:00:00,34
2015-07-01 00:00:00,35
2015-09-01 00:00:00,64
2015-10-01 00:00:00,24
2015-11-01 00:00:00,21
2015-12-01 00:00:00,32
2016-01-01 00:00:00,24
2016-02-01 00:00:00,20
2016-03-01 00:00:00,26
2016-05-01 00:00:00,49
2016-06-01 00:00:00,35
2016-07-01 00:00:00,90
2016-08-01 00:00:00,24
2016-09-01 00:00:00,20
2016-10-01 00:00:00,19
2016-11-01 00:00:00,16
2016-12-01 00:00:00,39
2017-01-01 00:00:00,15
2017-02-01 00:00:00,31
2017-03-01 00:00:00,100
2017-04-01 00:00:00,24
2017-05-01 00:00:00,38
2017-06-01 00:00:00,27
2017-07-01 00:00:00,36
2017-08-01 00:00:00,31
2017-09-01 00:00:00,16
2017-10-01 00:00:00,15
2017-11-01 00:00:00,27
2017-12-01 00:00:00,72
2018-01-01 00:00:00,26
2018-02-01 00:00:00,21
2018-03-01 00:00:00,27
2018-04-01 00:00:00,44
2018-05-01 00:00:00,20
2018-06-01 00:00:00,44
2018-07-01 00:00:00,48
2018-08-01 00:00:00,38
2018-09-01 00:00:00,35
2018-10-01 00:00:00,41
2018-11-01 00:00:00,50
2018-12-01 00:00:00,46
2019-01-01 00:00:00,16
2019-02-01 00:00:00,28
2019-03-01 00:00:00,42
2019-04-01 00:00:00,40
2019-05-01 00:00:00,35
2019-07-01 00:00:00,23
2019-08-01 00:00:00,43
2019-09-01 00:00:00,23
2019-10-01 00:00:00,30
2019-11-01 00:00:00,45
2019-12-01 00:00:00,68
2020-01-01 00:00:00,78
2020-02-01 00:00:00,52
2020-04-01 00:00:00,37
2020-05-01 00:00:00,42
2020-06-01 00:00:00,43
2020-07-01 00:00:00,47
2020-08-01 00:00:00,28
2020-09-01 00:00:00,44
2020-10-01 00:00:00,67
2020-11-01 00:00:00,42
2020-12-01 00:00:00,60
2021-01-01 00:00:00,37
2021-02-01 00:00:00,40
2021-03-01 00:00:00,39
2021-04-01 00:00:00,33
2021-05-01 00:00:00,53
2021-06-01 00:00:00,42
2021-07-01 00:00:00,60
2021-08-01 00:00:00,15
2021-09-01 00:00:00,37
2021-10-01 00:00:00,13
2021-12-01 00:00:00,55
2022-01-01 00:00:00,27
2022-02-01 00:00:00,66
2022-03-01 00:00:00,23
2022-04-01 00:00:00,54
2022-05-01 00:00:00,27
2022-06-01 00:00:00,60
2022-07-01 00:00:00,65
2022-08-01 00:00:00,100
2022-09-01 00:00:00,41
2022-10-01 00:00:00,23
2022-11-01 00:00:00,39
2022-12-01 00:00:00,71
