,MVT_GT_Oklahoma City OK
2015-01-01 00:00:00,12
2015-02-01 00:00:00,8
2015-03-01 00:00:00,13
2015-04-01 00:00:00,7
2015-05-01 00:00:00,4
2015-06-01 00:00:00,8
2015-07-01 00:00:00,100
2015-08-01 00:00:00,17
2015-11-01 00:00:00,19
2015-12-01 00:00:00,11
2016-01-01 00:00:00,12
2016-02-01 00:00:00,8
2016-04-01 00:00:00,9
2016-05-01 00:00:00,10
2016-06-01 00:00:00,18
2016-07-01 00:00:00,13
2016-10-01 00:00:00,18
2016-11-01 00:00:00,10
2016-12-01 00:00:00,10
2017-01-01 00:00:00,15
2017-04-01 00:00:00,7
2017-06-01 00:00:00,8
2017-07-01 00:00:00,14
2017-09-01 00:00:00,11
2017-10-01 00:00:00,19
2017-11-01 00:00:00,18
2017-12-01 00:00:00,24
2018-01-01 00:00:00,8
2018-02-01 00:00:00,18
2018-03-01 00:00:00,12
2018-04-01 00:00:00,41
2018-05-01 00:00:00,10
2018-06-01 00:00:00,25
2018-07-01 00:00:00,18
2018-09-01 00:00:00,8
2018-10-01 00:00:00,27
2018-11-01 00:00:00,7
2019-01-01 00:00:00,12
2019-02-01 00:00:00,10
2019-04-01 00:00:00,10
2019-06-01 00:00:00,11
2019-07-01 00:00:00,21
2019-10-01 00:00:00,24
2019-12-01 00:00:00,20
2020-01-01 00:00:00,12
2020-02-01 00:00:00,9
2020-03-01 00:00:00,6
2020-06-01 00:00:00,8
2020-07-01 00:00:00,8
2020-08-01 00:00:00,9
2020-09-01 00:00:00,7
2020-10-01 00:00:00,6
2020-11-01 00:00:00,18
2021-01-01 00:00:00,12
2021-02-01 00:00:00,18
2021-03-01 00:00:00,6
2021-04-01 00:00:00,7
2021-05-01 00:00:00,9
2021-06-01 00:00:00,8
2021-07-01 00:00:00,17
2021-08-01 00:00:00,19
2021-09-01 00:00:00,10
2021-12-01 00:00:00,27
2022-01-01 00:00:00,10
2022-02-01 00:00:00,39
2022-03-01 00:00:00,8
2022-04-01 00:00:00,10
2022-05-01 00:00:00,9
2022-06-01 00:00:00,21
2022-07-01 00:00:00,7
2022-09-01 00:00:00,13
2022-10-01 00:00:00,12
2022-11-01 00:00:00,31
2022-12-01 00:00:00,13
