,MVT_GT_Louisville KY
2015-02-01 00:00:00,37
2015-03-01 00:00:00,76
2015-05-01 00:00:00,20
2015-06-01 00:00:00,50
2015-09-01 00:00:00,76
2015-10-01 00:00:00,34
2015-11-01 00:00:00,37
2016-01-01 00:00:00,35
2016-02-01 00:00:00,100
2016-03-01 00:00:00,50
2016-05-01 00:00:00,26
2016-07-01 00:00:00,60
2016-08-01 00:00:00,39
2016-10-01 00:00:00,85
2016-11-01 00:00:00,25
2017-03-01 00:00:00,16
2017-04-01 00:00:00,20
2017-05-01 00:00:00,30
2017-06-01 00:00:00,29
2017-07-01 00:00:00,32
2017-08-01 00:00:00,41
2017-09-01 00:00:00,36
2017-11-01 00:00:00,35
2018-01-01 00:00:00,86
2018-03-01 00:00:00,19
2018-05-01 00:00:00,58
2018-06-01 00:00:00,23
2018-08-01 00:00:00,18
2018-09-01 00:00:00,30
2018-10-01 00:00:00,26
2018-11-01 00:00:00,62
2019-01-01 00:00:00,20
2019-02-01 00:00:00,22
2019-05-01 00:00:00,17
2019-06-01 00:00:00,47
2019-07-01 00:00:00,23
2019-08-01 00:00:00,75
2019-10-01 00:00:00,14
2019-11-01 00:00:00,24
2019-12-01 00:00:00,40
2020-01-01 00:00:00,43
2020-02-01 00:00:00,36
2020-03-01 00:00:00,67
2020-04-01 00:00:00,83
2020-05-01 00:00:00,63
2020-06-01 00:00:00,41
2020-07-01 00:00:00,15
2020-08-01 00:00:00,23
2020-09-01 00:00:00,46
2020-11-01 00:00:00,59
2020-12-01 00:00:00,23
2021-01-01 00:00:00,79
2021-02-01 00:00:00,30
2021-03-01 00:00:00,61
2021-04-01 00:00:00,27
2021-07-01 00:00:00,50
2021-08-01 00:00:00,42
2021-09-01 00:00:00,35
2021-10-01 00:00:00,18
2021-11-01 00:00:00,45
2021-12-01 00:00:00,43
2022-03-01 00:00:00,28
2022-04-01 00:00:00,41
2022-05-01 00:00:00,38
2022-06-01 00:00:00,58
2022-07-01 00:00:00,31
2022-08-01 00:00:00,64
2022-09-01 00:00:00,61
2022-10-01 00:00:00,34
2022-11-01 00:00:00,25
2022-12-01 00:00:00,27
