,MVT_GT_Tucson AZ
2015-01-01 00:00:00,47
2015-03-01 00:00:00,43
2015-04-01 00:00:00,34
2015-10-01 00:00:00,38
2015-12-01 00:00:00,34
2016-01-01 00:00:00,76
2016-03-01 00:00:00,32
2016-04-01 00:00:00,79
2016-05-01 00:00:00,55
2016-07-01 00:00:00,100
2016-08-01 00:00:00,48
2016-09-01 00:00:00,70
2016-10-01 00:00:00,37
2016-11-01 00:00:00,31
2017-01-01 00:00:00,71
2017-04-01 00:00:00,49
2017-05-01 00:00:00,60
2017-06-01 00:00:00,55
2017-08-01 00:00:00,26
2017-10-01 00:00:00,28
2017-11-01 00:00:00,82
2018-01-01 00:00:00,26
2018-02-01 00:00:00,24
2018-04-01 00:00:00,38
2018-05-01 00:00:00,25
2018-07-01 00:00:00,53
2018-08-01 00:00:00,40
2018-09-01 00:00:00,53
2018-11-01 00:00:00,33
2018-12-01 00:00:00,20
2019-01-01 00:00:00,62
2019-03-01 00:00:00,68
2019-04-01 00:00:00,48
2019-05-01 00:00:00,38
2019-06-01 00:00:00,58
2019-08-01 00:00:00,49
2019-09-01 00:00:00,22
2019-10-01 00:00:00,43
2019-11-01 00:00:00,30
2019-12-01 00:00:00,31
2020-01-01 00:00:00,94
2020-03-01 00:00:00,52
2020-05-01 00:00:00,67
2020-08-01 00:00:00,37
2020-09-01 00:00:00,50
2020-10-01 00:00:00,72
2020-11-01 00:00:00,45
2020-12-01 00:00:00,23
2021-01-01 00:00:00,16
2021-03-01 00:00:00,19
2021-05-01 00:00:00,69
2021-06-01 00:00:00,30
2021-07-01 00:00:00,20
2021-09-01 00:00:00,33
2021-11-01 00:00:00,63
2021-12-01 00:00:00,28
2022-01-01 00:00:00,43
2022-02-01 00:00:00,39
2022-03-01 00:00:00,60
2022-04-01 00:00:00,68
2022-05-01 00:00:00,65
2022-06-01 00:00:00,20
2022-08-01 00:00:00,64
2022-09-01 00:00:00,98
2022-10-01 00:00:00,29
2022-11-01 00:00:00,34
2022-12-01 00:00:00,40
