,MVT_GT_Colorado Springs-Pueblo CO
2015-02-01 00:00:00,69
2015-04-01 00:00:00,60
2015-08-01 00:00:00,54
2015-12-01 00:00:00,73
2016-02-01 00:00:00,77
2016-05-01 00:00:00,31
2016-06-01 00:00:00,27
2016-07-01 00:00:00,25
2016-08-01 00:00:00,31
2016-10-01 00:00:00,29
2016-11-01 00:00:00,45
2016-12-01 00:00:00,24
2017-01-01 00:00:00,69
2017-02-01 00:00:00,31
2017-03-01 00:00:00,21
2017-05-01 00:00:00,30
2018-01-01 00:00:00,32
2018-02-01 00:00:00,48
2018-04-01 00:00:00,18
2018-05-01 00:00:00,21
2018-06-01 00:00:00,53
2018-07-01 00:00:00,28
2018-09-01 00:00:00,40
2018-10-01 00:00:00,22
2018-12-01 00:00:00,60
2019-01-01 00:00:00,34
2019-02-01 00:00:00,54
2019-03-01 00:00:00,55
2019-06-01 00:00:00,32
2019-07-01 00:00:00,31
2019-08-01 00:00:00,44
2019-10-01 00:00:00,38
2019-11-01 00:00:00,28
2019-12-01 00:00:00,26
2020-01-01 00:00:00,100
2020-06-01 00:00:00,51
2020-07-01 00:00:00,26
2020-08-01 00:00:00,28
2020-09-01 00:00:00,42
2020-10-01 00:00:00,25
2020-11-01 00:00:00,41
2021-01-01 00:00:00,44
2021-02-01 00:00:00,20
2021-04-01 00:00:00,28
2021-05-01 00:00:00,22
2021-07-01 00:00:00,37
2021-10-01 00:00:00,30
2021-11-01 00:00:00,68
2022-01-01 00:00:00,19
2022-03-01 00:00:00,42
2022-04-01 00:00:00,17
2022-05-01 00:00:00,40
2022-07-01 00:00:00,25
2022-09-01 00:00:00,28
