,MVT_GT_Columbus OH
2015-01-01 00:00:00,54
2015-02-01 00:00:00,54
2015-03-01 00:00:00,34
2015-05-01 00:00:00,41
2015-06-01 00:00:00,37
2015-10-01 00:00:00,29
2016-01-01 00:00:00,67
2016-02-01 00:00:00,44
2016-03-01 00:00:00,19
2016-04-01 00:00:00,21
2016-05-01 00:00:00,46
2016-07-01 00:00:00,38
2016-08-01 00:00:00,35
2016-09-01 00:00:00,22
2016-10-01 00:00:00,34
2017-01-01 00:00:00,14
2017-03-01 00:00:00,42
2017-04-01 00:00:00,23
2017-05-01 00:00:00,28
2017-06-01 00:00:00,23
2017-07-01 00:00:00,13
2017-08-01 00:00:00,34
2017-10-01 00:00:00,13
2017-11-01 00:00:00,48
2017-12-01 00:00:00,20
2018-01-01 00:00:00,30
2018-02-01 00:00:00,18
2018-03-01 00:00:00,19
2018-04-01 00:00:00,25
2018-05-01 00:00:00,57
2018-06-01 00:00:00,21
2018-07-01 00:00:00,43
2018-08-01 00:00:00,38
2018-09-01 00:00:00,26
2018-10-01 00:00:00,16
2018-11-01 00:00:00,62
2018-12-01 00:00:00,47
2019-01-01 00:00:00,49
2019-02-01 00:00:00,34
2019-03-01 00:00:00,36
2019-05-01 00:00:00,38
2019-06-01 00:00:00,26
2019-07-01 00:00:00,44
2019-08-01 00:00:00,45
2019-09-01 00:00:00,74
2019-10-01 00:00:00,21
2019-11-01 00:00:00,15
2019-12-01 00:00:00,36
2020-01-01 00:00:00,24
2020-02-01 00:00:00,44
2020-03-01 00:00:00,16
2020-04-01 00:00:00,25
2020-05-01 00:00:00,11
2020-06-01 00:00:00,42
2020-07-01 00:00:00,42
2020-08-01 00:00:00,19
2020-09-01 00:00:00,35
2020-10-01 00:00:00,28
2020-11-01 00:00:00,36
2020-12-01 00:00:00,28
2021-01-01 00:00:00,47
2021-02-01 00:00:00,32
2021-03-01 00:00:00,41
2021-05-01 00:00:00,24
2021-06-01 00:00:00,42
2021-07-01 00:00:00,89
2021-08-01 00:00:00,38
2021-09-01 00:00:00,16
2021-10-01 00:00:00,40
2021-11-01 00:00:00,23
2021-12-01 00:00:00,50
2022-01-01 00:00:00,92
2022-02-01 00:00:00,100
2022-03-01 00:00:00,79
2022-04-01 00:00:00,37
2022-05-01 00:00:00,60
2022-06-01 00:00:00,65
2022-07-01 00:00:00,92
2022-08-01 00:00:00,55
2022-09-01 00:00:00,59
2022-10-01 00:00:00,77
2022-11-01 00:00:00,76
2022-12-01 00:00:00,99
