,MVT_GT_Wichita-Hutchinson KS
2015-02-01 00:00:00,39
2015-03-01 00:00:00,65
2015-07-01 00:00:00,58
2015-12-01 00:00:00,46
2016-02-01 00:00:00,31
2016-06-01 00:00:00,58
2016-08-01 00:00:00,33
2016-09-01 00:00:00,88
2016-11-01 00:00:00,32
2017-01-01 00:00:00,25
2017-04-01 00:00:00,49
2017-08-01 00:00:00,51
2017-09-01 00:00:00,35
2017-10-01 00:00:00,37
2017-11-01 00:00:00,37
2017-12-01 00:00:00,37
2018-02-01 00:00:00,96
2018-06-01 00:00:00,42
2018-07-01 00:00:00,93
2018-09-01 00:00:00,73
2018-11-01 00:00:00,24
2018-12-01 00:00:00,39
2019-01-01 00:00:00,22
2019-02-01 00:00:00,62
2019-04-01 00:00:00,56
2019-05-01 00:00:00,26
2019-06-01 00:00:00,41
2019-08-01 00:00:00,26
2020-02-01 00:00:00,19
2020-05-01 00:00:00,29
2020-08-01 00:00:00,30
2020-11-01 00:00:00,35
2021-01-01 00:00:00,22
2021-02-01 00:00:00,25
2021-03-01 00:00:00,38
2021-05-01 00:00:00,54
2021-07-01 00:00:00,100
2021-08-01 00:00:00,43
2021-09-01 00:00:00,50
2021-10-01 00:00:00,41
2021-12-01 00:00:00,77
2022-02-01 00:00:00,84
2022-04-01 00:00:00,24
2022-06-01 00:00:00,39
2022-07-01 00:00:00,54
2022-10-01 00:00:00,26
2022-12-01 00:00:00,52
