,MVT_GT_El Paso TX
2015-01-01 00:00:00,100
2015-02-01 00:00:00,100
2015-07-01 00:00:00,26
2015-09-01 00:00:00,90
2015-10-01 00:00:00,69
2015-11-01 00:00:00,41
2016-01-01 00:00:00,41
2016-03-01 00:00:00,53
2016-06-01 00:00:00,87
2017-04-01 00:00:00,34
2017-06-01 00:00:00,17
2017-07-01 00:00:00,60
2017-09-01 00:00:00,31
2017-11-01 00:00:00,43
2018-03-01 00:00:00,45
2018-06-01 00:00:00,40
2018-07-01 00:00:00,22
2018-08-01 00:00:00,22
2018-09-01 00:00:00,91
2018-10-01 00:00:00,70
2019-02-01 00:00:00,19
2019-03-01 00:00:00,22
2019-04-01 00:00:00,66
2019-07-01 00:00:00,39
2019-08-01 00:00:00,35
2019-09-01 00:00:00,57
2019-11-01 00:00:00,17
2019-12-01 00:00:00,22
2020-01-01 00:00:00,32
2020-03-01 00:00:00,17
2020-05-01 00:00:00,43
2020-06-01 00:00:00,12
2020-07-01 00:00:00,20
2020-08-01 00:00:00,25
2020-09-01 00:00:00,14
2020-10-01 00:00:00,56
2020-11-01 00:00:00,38
2020-12-01 00:00:00,47
2021-01-01 00:00:00,34
2021-02-01 00:00:00,32
2021-03-01 00:00:00,41
2021-04-01 00:00:00,27
2021-05-01 00:00:00,64
2021-06-01 00:00:00,22
2021-07-01 00:00:00,22
2021-09-01 00:00:00,17
2021-11-01 00:00:00,20
2021-12-01 00:00:00,39
2022-01-01 00:00:00,27
2022-02-01 00:00:00,27
2022-03-01 00:00:00,16
2022-04-01 00:00:00,42
2022-05-01 00:00:00,31
2022-06-01 00:00:00,17
2022-07-01 00:00:00,87
2022-09-01 00:00:00,49
2022-10-01 00:00:00,45
2022-12-01 00:00:00,26
