,MVT_GT_Wichita-Hutchinson KS
2015-04-01 00:00:00,51
2015-10-01 00:00:00,62
2015-12-01 00:00:00,21
2016-03-01 00:00:00,20
2016-06-01 00:00:00,18
2016-08-01 00:00:00,17
2016-09-01 00:00:00,17
2016-10-01 00:00:00,45
2016-11-01 00:00:00,43
2016-12-01 00:00:00,27
2017-01-01 00:00:00,19
2017-04-01 00:00:00,29
2017-10-01 00:00:00,34
2017-12-01 00:00:00,33
2018-01-01 00:00:00,26
2018-02-01 00:00:00,30
2018-03-01 00:00:00,18
2018-04-01 00:00:00,42
2018-06-01 00:00:00,55
2018-07-01 00:00:00,18
2018-09-01 00:00:00,42
2018-10-01 00:00:00,23
2018-11-01 00:00:00,30
2018-12-01 00:00:00,28
2019-02-01 00:00:00,43
2019-04-01 00:00:00,51
2019-05-01 00:00:00,17
2019-06-01 00:00:00,20
2019-07-01 00:00:00,100
2019-10-01 00:00:00,27
2019-11-01 00:00:00,17
2020-01-01 00:00:00,16
2020-02-01 00:00:00,31
2020-08-01 00:00:00,12
2021-01-01 00:00:00,15
2021-03-01 00:00:00,21
2021-04-01 00:00:00,28
2021-05-01 00:00:00,17
2021-07-01 00:00:00,20
2021-08-01 00:00:00,29
2022-01-01 00:00:00,45
2022-02-01 00:00:00,24
2022-03-01 00:00:00,24
2022-04-01 00:00:00,29
2022-06-01 00:00:00,25
2022-07-01 00:00:00,17
2022-09-01 00:00:00,26
2022-10-01 00:00:00,14
2022-11-01 00:00:00,34
