,MVT_GT_Charlotte NC
2015-01-01 00:00:00,25
2015-02-01 00:00:00,67
2015-03-01 00:00:00,78
2015-04-01 00:00:00,76
2015-05-01 00:00:00,28
2015-06-01 00:00:00,34
2015-07-01 00:00:00,35
2015-08-01 00:00:00,49
2015-09-01 00:00:00,57
2015-10-01 00:00:00,41
2015-11-01 00:00:00,49
2015-12-01 00:00:00,40
2016-01-01 00:00:00,63
2016-02-01 00:00:00,22
2016-03-01 00:00:00,28
2016-04-01 00:00:00,41
2016-06-01 00:00:00,100
2016-07-01 00:00:00,48
2016-08-01 00:00:00,48
2016-09-01 00:00:00,50
2016-10-01 00:00:00,34
2016-11-01 00:00:00,43
2016-12-01 00:00:00,42
2017-01-01 00:00:00,72
2017-02-01 00:00:00,49
2017-03-01 00:00:00,57
2017-04-01 00:00:00,27
2017-05-01 00:00:00,17
2017-06-01 00:00:00,43
2017-07-01 00:00:00,37
2017-08-01 00:00:00,52
2017-09-01 00:00:00,26
2017-10-01 00:00:00,67
2017-11-01 00:00:00,54
2017-12-01 00:00:00,25
2018-01-01 00:00:00,29
2018-02-01 00:00:00,23
2018-03-01 00:00:00,34
2018-04-01 00:00:00,43
2018-05-01 00:00:00,42
2018-06-01 00:00:00,37
2018-07-01 00:00:00,76
2018-08-01 00:00:00,58
2018-09-01 00:00:00,78
2018-10-01 00:00:00,42
2018-11-01 00:00:00,45
2018-12-01 00:00:00,19
2019-01-01 00:00:00,51
2019-02-01 00:00:00,71
2019-03-01 00:00:00,34
2019-04-01 00:00:00,30
2019-06-01 00:00:00,91
2019-07-01 00:00:00,78
2019-08-01 00:00:00,51
2019-09-01 00:00:00,46
2019-10-01 00:00:00,37
2019-11-01 00:00:00,53
2019-12-01 00:00:00,73
2020-01-01 00:00:00,69
2020-02-01 00:00:00,43
2020-03-01 00:00:00,47
2020-04-01 00:00:00,45
2020-05-01 00:00:00,24
2020-06-01 00:00:00,30
2020-07-01 00:00:00,41
2020-08-01 00:00:00,52
2020-09-01 00:00:00,44
2020-10-01 00:00:00,53
2020-11-01 00:00:00,72
2020-12-01 00:00:00,28
2021-01-01 00:00:00,49
2021-02-01 00:00:00,40
2021-03-01 00:00:00,46
2021-04-01 00:00:00,25
2021-05-01 00:00:00,54
2021-06-01 00:00:00,65
2021-09-01 00:00:00,21
2021-10-01 00:00:00,47
2021-11-01 00:00:00,83
2021-12-01 00:00:00,45
2022-01-01 00:00:00,52
2022-02-01 00:00:00,61
2022-03-01 00:00:00,59
2022-04-01 00:00:00,35
2022-05-01 00:00:00,63
2022-06-01 00:00:00,32
2022-07-01 00:00:00,57
2022-08-01 00:00:00,38
2022-09-01 00:00:00,80
2022-10-01 00:00:00,78
2022-11-01 00:00:00,66
2022-12-01 00:00:00,49
